                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                0.67302,                 0.4459,                0.85422,                0.96241,                0.78571,                0.87345,                0.48881,                 1.6514,                 1.0774,                 1.2534,              0.0005084,              0.0005084,              0.0005084
                    115,                0.70504,                0.44956,                0.84755,                      1,                  0.775,                0.86483,                0.46813,                 1.6564,                  1.099,                 1.2733,              0.0004952,              0.0004952,              0.0004952
                    116,                0.67273,                0.42414,                0.83952,                      1,                0.77057,                0.86092,                0.45687,                  1.715,                 1.1302,                 1.3259,               0.000482,               0.000482,               0.000482
                    117,                0.66781,                0.43858,                0.81989,                      1,                0.70976,                0.81248,                0.42222,                 1.7665,                 1.2423,                 1.3343,              0.0004688,              0.0004688,              0.0004688
                    118,                 0.6133,                0.41211,                0.84893,                      1,                0.71157,                0.83139,                0.42712,                 1.8141,                 1.3666,                  1.332,              0.0004556,              0.0004556,              0.0004556
                    119,                0.64965,                0.41704,                0.84422,                0.99568,                0.71429,                0.84295,                0.44587,                 1.8597,                 1.2888,                 1.3566,              0.0004424,              0.0004424,              0.0004424
                    120,                0.69638,                0.43692,                0.83544,                      1,                0.77994,                0.86151,                0.45569,                 1.8522,                 1.2157,                 1.3499,              0.0004292,              0.0004292,              0.0004292
                    121,                0.63156,                0.40557,                0.83711,                      1,                   0.78,                0.86762,                0.45895,                 1.8321,                 1.2257,                 1.3479,               0.000416,               0.000416,               0.000416
                    122,                0.62885,                0.41988,                0.83883,                0.99366,                0.71429,                0.86111,                0.42093,                 1.8767,                 1.2904,                 1.3639,              0.0004028,              0.0004028,              0.0004028
                    123,                0.63282,                0.42345,                0.82838,                 0.9937,                0.71429,                0.83217,                0.43117,                 1.8207,                 1.3508,                 1.3283,              0.0003896,              0.0003896,              0.0003896
                    124,                0.66783,                0.43142,                0.86097,                      1,                0.71312,                0.82679,                0.43346,                 1.7982,                  1.353,                 1.3097,              0.0003764,              0.0003764,              0.0003764
                    125,                0.60853,                0.40751,                 0.8416,                      1,                0.70996,                0.81409,                0.41113,                 1.8409,                 1.3249,                 1.3378,              0.0003632,              0.0003632,              0.0003632
                    126,                0.65672,                0.43027,                0.86976,                      1,                0.71102,                0.84766,                0.43218,                 1.8067,                 1.2352,                  1.312,                0.00035,                0.00035,                0.00035
                    127,                0.65981,                0.42887,                0.85364,                      1,                0.71098,                0.83136,                0.45395,                  1.756,                 1.2433,                 1.2767,              0.0003368,              0.0003368,              0.0003368
                    128,                0.63936,                0.42785,                0.83916,                      1,                0.70868,                0.80593,                0.43352,                 1.8147,                 1.3332,                 1.2949,              0.0003236,              0.0003236,              0.0003236
                    129,                 0.6532,                0.41611,                0.84572,                      1,                0.70661,                0.80706,                0.41136,                  1.891,                 1.3144,                 1.3392,              0.0003104,              0.0003104,              0.0003104
                    130,                0.64933,                0.39666,                0.83173,                      1,                0.70921,                0.80121,                0.41258,                 1.8717,                 1.2616,                 1.3422,              0.0002972,              0.0002972,              0.0002972
                    131,                0.66084,                0.43477,                0.83295,                0.99722,                0.71429,                0.80121,                0.41501,                 1.8269,                 1.1834,                 1.3345,               0.000284,               0.000284,               0.000284
                    132,                0.59559,                0.40169,                  0.828,                      1,                0.71338,                0.80021,                 0.4131,                 1.8198,                 1.2007,                 1.3466,              0.0002708,              0.0002708,              0.0002708
                    133,                0.58982,                0.39284,                0.84096,                      1,                0.71265,                0.80722,                0.42576,                 1.8291,                 1.2182,                  1.354,              0.0002576,              0.0002576,              0.0002576
                    134,                0.61072,                0.40431,                 0.8272,                      1,                0.71138,                0.82579,                0.42853,                 1.8349,                 1.2813,                 1.3452,              0.0002444,              0.0002444,              0.0002444
                    135,                0.62211,                 0.4049,                0.83564,                      1,                0.70973,                0.83352,                0.43386,                  1.818,                 1.3345,                 1.3313,              0.0002312,              0.0002312,              0.0002312
                    136,                0.58703,                0.38517,                0.82574,                      1,                0.70917,                0.83664,                0.44324,                  1.809,                  1.367,                 1.3247,               0.000218,               0.000218,               0.000218
                    137,                 0.5562,                0.39242,                0.83891,                      1,                0.70925,                0.84411,                0.44593,                 1.8256,                 1.4055,                 1.3258,              0.0002048,              0.0002048,              0.0002048
                    138,                0.61068,                0.38738,                0.84353,                      1,                0.70925,                0.84411,                0.45091,                 1.8267,                 1.4553,                 1.3378,              0.0001916,              0.0001916,              0.0001916
                    139,                0.56057,                0.37293,                0.82175,                      1,                0.70913,                0.84411,                0.45158,                 1.8002,                 1.4435,                 1.3356,              0.0001784,              0.0001784,              0.0001784
                    140,                0.55982,                0.36542,                0.82782,                0.99406,                0.64286,                0.82972,                0.43695,                 1.8021,                 1.4477,                 1.3543,              0.0001652,              0.0001652,              0.0001652
                    141,                0.54373,                0.36779,                0.81353,                      1,                0.70923,                0.82929,                0.43757,                 1.8089,                 1.4027,                 1.3603,               0.000152,               0.000152,               0.000152
                    142,                0.52547,                0.34827,                 0.8247,                      1,                0.70966,                0.82156,                0.41288,                 1.8178,                 1.3469,                 1.3557,              0.0001388,              0.0001388,              0.0001388
                    143,                0.55768,                0.36642,                 0.8224,                      1,                0.71048,                0.85967,                0.44164,                 1.8006,                 1.2374,                 1.3597,              0.0001256,              0.0001256,              0.0001256
                    144,                0.54776,                0.36711,                0.84595,                      1,                0.71129,                0.85617,                 0.4369,                  1.809,                 1.1999,                 1.3698,              0.0001124,              0.0001124,              0.0001124
                    145,                0.49909,                0.34632,                0.81815,                      1,                0.71112,                0.85193,                0.42752,                 1.8254,                 1.2257,                 1.3794,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.55751,                0.36397,                0.83611,                      1,                0.71085,                0.84095,                0.42071,                   1.84,                 1.2788,                 1.3885,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.56244,                0.35802,                0.84502,                      1,                0.71011,                0.84461,                0.43511,                 1.8304,                 1.2977,                 1.3816,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.51062,                0.35449,                0.81303,                      1,                0.70978,                0.85344,                0.43065,                 1.8253,                 1.2936,                 1.3775,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.50725,                0.36724,                0.81535,                      1,                0.70907,                0.85285,                0.44944,                 1.8198,                 1.2962,                 1.3703,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                0.56479,                 0.3641,                0.84412,                0.88708,                0.71429,                0.84708,                0.45347,                 1.8124,                 1.3018,                 1.3649,               3.32e-05,               3.32e-05,               3.32e-05
